1,Toy Story (1995),"['Adventure', 'Animation', 'Children', 'Comedy', 'Fantasy']"
2,Jumanji (1995),"['Adventure', 'Children', 'Fantasy']"
3,Grumpier Old Men (1995),"['Comedy', 'Romance']"
4,Father of the Bride Part II (1995),['Comedy']
5,Heat (1995),"['Action', 'Crime', 'Thriller']"
6,Sabrina (1995),"['Comedy', 'Romance']"
7,GoldenEye (1995),"['Action', 'Adventure', 'Thriller']"
8,"American President, The (1995)","['Comedy', 'Drama', 'Romance']"
9,Casino (1995),"['Crime', 'Drama']"
10,Sense and Sensibility (1995),"['Drama', 'Romance']"
11,Ace Ventura: When Nature Calls (1995),['Comedy']
12,Get Shorty (1995),"['Comedy', 'Crime', 'Thriller']"
13,Copycat (1995),"['Crime', 'Drama', 'Horror', 'Mystery', 'Thriller']"
14,Powder (1995),"['Drama', 'Sci-Fi']"
15,Leaving Las Vegas (1995),"['Drama', 'Romance']"
16,"City of Lost Children, The (Cité des enfants perdus, La) (1995)","['Adventure', 'Drama', 'Fantasy', 'Mystery', 'Sci-Fi']"
17,Dangerous Minds (1995),['Drama']
18,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),"['Mystery', 'Sci-Fi', 'Thriller']"
19,Babe (1995),"['Children', 'Drama']"
20,Dead Man Walking (1995),"['Crime', 'Drama']"
21,Clueless (1995),"['Comedy', 'Romance']"
22,Mortal Kombat (1995),"['Action', 'Adventure', 'Fantasy']"
23,To Die For (1995),"['Comedy', 'Drama', 'Thriller']"
24,Seven (a.k.a. Se7en) (1995),"['Mystery', 'Thriller']"
25,Pocahontas (1995),"['Animation', 'Children', 'Drama', 'Musical', 'Romance']"
26,"Usual Suspects, The (1995)","['Crime', 'Mystery', 'Thriller']"
27,Mighty Aphrodite (1995),"['Comedy', 'Drama', 'Romance']"
28,"Postman, The (Postino, Il) (1994)","['Comedy', 'Drama', 'Romance']"
29,Mr. Holland's Opus (1995),['Drama']
30,Bio-Dome (1996),['Comedy']
31,From Dusk Till Dawn (1996),"['Action', 'Comedy', 'Horror', 'Thriller']"
32,Black Sheep (1996),['Comedy']
33,Broken Arrow (1996),"['Action', 'Adventure', 'Thriller']"
34,Happy Gilmore (1996),['Comedy']
35,"Bridges of Madison County, The (1995)","['Drama', 'Romance']"
36,Muppet Treasure Island (1996),"['Adventure', 'Children', 'Comedy', 'Musical']"
37,Braveheart (1995),"['Action', 'Drama', 'War']"
38,Taxi Driver (1976),"['Crime', 'Drama', 'Thriller']"
39,Rumble in the Bronx (Hont faan kui) (1995),"['Action', 'Adventure', 'Comedy', 'Crime']"
40,Down Periscope (1996),['Comedy']
41,"Birdcage, The (1996)",['Comedy']
42,Bad Boys (1995),"['Action', 'Comedy', 'Crime', 'Drama', 'Thriller']"
43,Apollo 13 (1995),"['Adventure', 'Drama', 'IMAX']"
44,Rob Roy (1995),"['Action', 'Drama', 'Romance', 'War']"
45,Batman Forever (1995),"['Action', 'Adventure', 'Comedy', 'Crime']"
46,Casper (1995),"['Adventure', 'Children']"
47,Congo (1995),"['Action', 'Adventure', 'Mystery', 'Sci-Fi']"
48,Crimson Tide (1995),"['Drama', 'Thriller', 'War']"
49,Desperado (1995),"['Action', 'Romance', 'Western']"
50,Die Hard: With a Vengeance (1995),"['Action', 'Crime', 'Thriller']"
51,First Knight (1995),"['Action', 'Drama', 'Romance']"
52,Hackers (1995),"['Action', 'Adventure', 'Crime', 'Thriller']"
53,Johnny Mnemonic (1995),"['Action', 'Sci-Fi', 'Thriller']"
54,Judge Dredd (1995),"['Action', 'Crime', 'Sci-Fi']"
55,Kids (1995),['Drama']
56,Mallrats (1995),"['Comedy', 'Romance']"
57,"Net, The (1995)","['Action', 'Crime', 'Thriller']"
58,Nine Months (1995),"['Comedy', 'Romance']"
59,Showgirls (1995),['Drama']
60,Smoke (1995),"['Comedy', 'Drama']"
61,Species (1995),"['Horror', 'Sci-Fi']"
62,Strange Days (1995),"['Action', 'Crime', 'Drama', 'Mystery', 'Sci-Fi', 'Thriller']"
63,Under Siege 2: Dark Territory (1995),['Action']
64,Waterworld (1995),"['Action', 'Adventure', 'Sci-Fi']"
65,Billy Madison (1995),['Comedy']
66,Clerks (1994),['Comedy']
67,Don Juan DeMarco (1995),"['Comedy', 'Drama', 'Romance']"
68,Disclosure (1994),"['Drama', 'Thriller']"
69,Dolores Claiborne (1995),"['Drama', 'Thriller']"
70,Dumb & Dumber (Dumb and Dumber) (1994),"['Adventure', 'Comedy']"
71,Eat Drink Man Woman (Yin shi nan nu) (1994),"['Comedy', 'Drama', 'Romance']"
72,Ed Wood (1994),"['Comedy', 'Drama']"
73,French Kiss (1995),"['Action', 'Comedy', 'Romance']"
74,Hoop Dreams (1994),['Documentary']
75,Heavenly Creatures (1994),"['Crime', 'Drama']"
76,I.Q. (1994),"['Comedy', 'Romance']"
77,Interview with the Vampire: The Vampire Chronicles (1994),"['Drama', 'Horror']"
78,Junior (1994),"['Comedy', 'Sci-Fi']"
79,Star Wars: Episode IV - A New Hope (1977),"['Action', 'Adventure', 'Sci-Fi']"
80,Little Women (1994),['Drama']
81,Like Water for Chocolate (Como agua para chocolate) (1992),"['Drama', 'Fantasy', 'Romance']"
82,Legends of the Fall (1994),"['Drama', 'Romance', 'War', 'Western']"
83,"Madness of King George, The (1994)","['Comedy', 'Drama']"
84,Mary Shelley's Frankenstein (Frankenstein) (1994),"['Drama', 'Horror', 'Sci-Fi']"
85,Miracle on 34th Street (1994),['Drama']
86,Nell (1994),['Drama']
87,Natural Born Killers (1994),"['Action', 'Crime', 'Thriller']"
88,Outbreak (1995),"['Action', 'Drama', 'Sci-Fi', 'Thriller']"
89,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),"['Action', 'Crime', 'Drama', 'Thriller']"
90,Pulp Fiction (1994),"['Comedy', 'Crime', 'Drama', 'Thriller']"
91,Quiz Show (1994),['Drama']
92,"Quick and the Dead, The (1995)","['Action', 'Thriller', 'Western']"
93,Three Colors: Red (Trois couleurs: Rouge) (1994),['Drama']
94,Three Colors: Blue (Trois couleurs: Bleu) (1993),['Drama']
95,Three Colors: White (Trzy kolory: Bialy) (1994),"['Comedy', 'Drama']"
96,"Specialist, The (1994)","['Action', 'Drama', 'Thriller']"
97,Stargate (1994),"['Action', 'Adventure', 'Sci-Fi']"
98,"Santa Clause, The (1994)","['Comedy', 'Drama', 'Fantasy']"
99,"Shawshank Redemption, The (1994)","['Crime', 'Drama']"
100,Shallow Grave (1994),"['Comedy', 'Drama', 'Thriller']"
101,Tank Girl (1995),"['Action', 'Comedy', 'Sci-Fi']"
102,Star Trek: Generations (1994),"['Adventure', 'Drama', 'Sci-Fi']"
103,Tommy Boy (1995),['Comedy']
104,What's Eating Gilbert Grape (1993),['Drama']
105,While You Were Sleeping (1995),"['Comedy', 'Romance']"
106,Muriel's Wedding (1994),['Comedy']
107,Ace Ventura: Pet Detective (1994),['Comedy']
108,"Adventures of Priscilla, Queen of the Desert, The (1994)","['Comedy', 'Drama']"
109,Bullets Over Broadway (1994),['Comedy']
110,Clear and Present Danger (1994),"['Action', 'Crime', 'Drama', 'Thriller']"
111,"Client, The (1994)","['Drama', 'Mystery', 'Thriller']"
112,"Crow, The (1994)","['Action', 'Crime', 'Fantasy', 'Thriller']"
113,"Flintstones, The (1994)","['Children', 'Comedy', 'Fantasy']"
114,Forrest Gump (1994),"['Comedy', 'Drama', 'Romance', 'War']"
115,Four Weddings and a Funeral (1994),"['Comedy', 'Romance']"
116,It Could Happen to You (1994),"['Comedy', 'Drama', 'Romance']"
117,"Lion King, The (1994)","['Adventure', 'Animation', 'Children', 'Drama', 'Musical', 'IMAX']"
118,"Mask, The (1994)","['Action', 'Comedy', 'Crime', 'Fantasy']"
119,Maverick (1994),"['Adventure', 'Comedy', 'Western']"
120,Naked Gun 33 1/3: The Final Insult (1994),"['Action', 'Comedy']"
121,Reality Bites (1994),"['Comedy', 'Drama', 'Romance']"
122,"River Wild, The (1994)","['Action', 'Thriller']"
123,Speed (1994),"['Action', 'Romance', 'Thriller']"
124,Timecop (1994),"['Action', 'Sci-Fi', 'Thriller']"
125,True Lies (1994),"['Action', 'Adventure', 'Comedy', 'Romance', 'Thriller']"
126,Wyatt Earp (1994),['Western']
127,Addams Family Values (1993),"['Children', 'Comedy', 'Fantasy']"
128,"Age of Innocence, The (1993)",['Drama']
129,Airheads (1994),['Comedy']
130,"Beverly Hillbillies, The (1993)",['Comedy']
131,Beverly Hills Cop III (1994),"['Action', 'Comedy', 'Crime', 'Thriller']"
132,Carlito's Way (1993),"['Crime', 'Drama']"
133,City Slickers II: The Legend of Curly's Gold (1994),"['Adventure', 'Comedy', 'Western']"
134,Cliffhanger (1993),"['Action', 'Adventure', 'Thriller']"
135,Coneheads (1993),"['Comedy', 'Sci-Fi']"
136,Dave (1993),"['Comedy', 'Romance']"
137,Dazed and Confused (1993),['Comedy']
138,Demolition Man (1993),"['Action', 'Adventure', 'Sci-Fi']"
139,"Firm, The (1993)","['Drama', 'Thriller']"
140,Free Willy (1993),"['Adventure', 'Children', 'Drama']"
141,"Fugitive, The (1993)",['Thriller']
142,Hot Shots! Part Deux (1993),"['Action', 'Comedy', 'War']"
143,"Englishman Who Went Up a Hill But Came Down a Mountain, The (1995)","['Comedy', 'Romance']"
144,"Hudsucker Proxy, The (1994)",['Comedy']
145,In the Line of Fire (1993),"['Action', 'Thriller']"
146,In the Name of the Father (1993),['Drama']
147,Jurassic Park (1993),"['Action', 'Adventure', 'Sci-Fi', 'Thriller']"
148,Last Action Hero (1993),"['Action', 'Adventure', 'Comedy', 'Fantasy']"
149,Executive Decision (1996),"['Action', 'Adventure', 'Thriller']"
150,Much Ado About Nothing (1993),"['Comedy', 'Romance']"
151,Mrs. Doubtfire (1993),"['Comedy', 'Drama']"
152,Philadelphia (1993),['Drama']
153,"Piano, The (1993)","['Drama', 'Romance']"
154,"Remains of the Day, The (1993)","['Drama', 'Romance']"
155,Robin Hood: Men in Tights (1993),['Comedy']
156,Rudy (1993),['Drama']
157,Schindler's List (1993),"['Drama', 'War']"
158,Searching for Bobby Fischer (1993),['Drama']
159,"Secret Garden, The (1993)","['Children', 'Drama']"
160,Sleepless in Seattle (1993),"['Comedy', 'Drama', 'Romance']"
161,Blade Runner (1982),"['Action', 'Sci-Fi', 'Thriller']"
162,So I Married an Axe Murderer (1993),"['Comedy', 'Romance', 'Thriller']"
163,Super Mario Bros. (1993),"['Action', 'Adventure', 'Children', 'Comedy', 'Fantasy', 'Sci-Fi']"
164,"Nightmare Before Christmas, The (1993)","['Animation', 'Children', 'Fantasy', 'Musical']"
165,"Three Musketeers, The (1993)","['Action', 'Adventure', 'Comedy', 'Romance']"
166,Tombstone (1993),"['Action', 'Drama', 'Western']"
167,True Romance (1993),"['Crime', 'Thriller']"
168,Welcome to the Dollhouse (1995),"['Comedy', 'Drama']"
169,"Brady Bunch Movie, The (1995)",['Comedy']
170,Home Alone (1990),"['Children', 'Comedy']"
171,Ghost (1990),"['Comedy', 'Drama', 'Fantasy', 'Romance', 'Thriller']"
172,Aladdin (1992),"['Adventure', 'Animation', 'Children', 'Comedy', 'Musical']"
173,Terminator 2: Judgment Day (1991),"['Action', 'Sci-Fi']"
174,Dances with Wolves (1990),"['Adventure', 'Drama', 'Western']"
175,Batman (1989),"['Action', 'Crime', 'Thriller']"
176,"Silence of the Lambs, The (1991)","['Crime', 'Horror', 'Thriller']"
177,Snow White and the Seven Dwarfs (1937),"['Animation', 'Children', 'Drama', 'Fantasy', 'Musical']"
178,Beauty and the Beast (1991),"['Animation', 'Children', 'Fantasy', 'Musical', 'Romance', 'IMAX']"
179,Pinocchio (1940),"['Animation', 'Children', 'Fantasy', 'Musical']"
180,Pretty Woman (1990),"['Comedy', 'Romance']"
181,Fargo (1996),"['Comedy', 'Crime', 'Drama', 'Thriller']"
182,Heavy Metal (1981),"['Action', 'Adventure', 'Animation', 'Horror', 'Sci-Fi']"
183,"Aristocats, The (1970)","['Animation', 'Children']"
184,Primal Fear (1996),"['Crime', 'Drama', 'Mystery', 'Thriller']"
185,Courage Under Fire (1996),"['Action', 'Crime', 'Drama', 'War']"
186,Mission: Impossible (1996),"['Action', 'Adventure', 'Mystery', 'Thriller']"
187,Dragonheart (1996),"['Action', 'Adventure', 'Fantasy']"
188,James and the Giant Peach (1996),"['Adventure', 'Animation', 'Children', 'Fantasy', 'Musical']"
189,Mystery Science Theater 3000: The Movie (1996),"['Comedy', 'Sci-Fi']"
190,Space Jam (1996),"['Adventure', 'Animation', 'Children', 'Comedy', 'Fantasy', 'Sci-Fi']"
191,"Truth About Cats & Dogs, The (1996)","['Comedy', 'Romance']"
192,Multiplicity (1996),['Comedy']
193,Wallace & Gromit: The Best of Aardman Animation (1996),"['Adventure', 'Animation', 'Comedy']"
194,"Craft, The (1996)","['Drama', 'Fantasy', 'Horror', 'Thriller']"
195,"Rock, The (1996)","['Action', 'Adventure', 'Thriller']"
196,Twister (1996),"['Action', 'Adventure', 'Romance', 'Thriller']"
197,Ghost in the Shell (Kôkaku kidôtai) (1995),"['Animation', 'Sci-Fi']"
198,Spy Hard (1996),['Comedy']
199,Wallace & Gromit: A Close Shave (1995),"['Animation', 'Children', 'Comedy']"
200,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),"['Comedy', 'War']"
201,Striptease (1996),"['Comedy', 'Crime']"
202,Trainspotting (1996),"['Comedy', 'Crime', 'Drama']"
203,Independence Day (a.k.a. ID4) (1996),"['Action', 'Adventure', 'Sci-Fi', 'Thriller']"
204,"Hunchback of Notre Dame, The (1996)","['Animation', 'Children', 'Drama', 'Musical', 'Romance']"
205,"Cable Guy, The (1996)","['Comedy', 'Thriller']"
